State,Abreviation,5～11,12～17,18～64,65
Alabama,AL,7.70%,32.90%,53.60%,85.40%
Alaska,AK,20.10%,53.70%,66.80%,94.10%
Arizona,AZ,18.50%,53.90%,66.30%,91.80%
Arkansas,AR,13.70%,44.40%,57.90%,83.30%
California,CA,28.80%,68.90%,77.50%,94.10%
Colorado,CO,29.20%,63.70%,77.20%,99.90%
Connecticut,CT,35.00%,73.20%,83.00%,99.80%
Delaware,DE,22.70%,57.30%,71.60%,99.90%
Florida,FL,16.70%,53.70%,71.70%,96.10%
Georgia,GA,12.30%,41.10%,60.60%,88.40%
Hawaii,HI,35.00%,79.80%,83.20%,96.30%
Idaho,ID,14.7%,31.2%,62.70%,90.80%
Illinois,IL,38.30%,61.60%,72.50%,92.00%
Indiana,IN,13.50%,39.40%,58.40%,91.30%
Iowa,IA,21.20%,47.90%,65.10%,96.70%
Kansas,KS,19.50%,50.00%,64.90%,94.20%
Kentucky,KY,15.90%,42.20%,60.60%,89.90%
Louisiana,LA,8.30%,36.60%,56.60%,90.70%
Maine,ME,37.90%,67.20%,82.10%,99.90%
Maryland,MD,34.90%,73.30%,80.00%,99.00%
Massachusetts,MA,43.20%,74.90%,82.80%,98.70%
Michigan,MI,21.30%,44.70%,62.00%,92.20%
Minnesota,MN,33.30%,61.50%,73.20%,99.90%
Mississippi,MS,9.10%,36.20%,54.30%,87.70%
Missouri,MO,16.50%,42.30%,58.80%,87.60%
Montana,MT,17.50%,42.30%,58.50%,91.90%
Nebraska,NE,22.70%,53.50%,68.80%,96.70%
Nevada,NV,15.30%,49.30%,68.30%,89.40%
New Hampshire,NH,24.10%,58.30%,73.30%,99.90%
New Jersey,NJ,30.20%,68.90%,81.60%,95.00%
New Mexico,NM,25.70%,64.50%,74.80%,98.70%
New York,NY,30.80%,68.00%,82.50%,93.90%
North Carolina,NC,20.20%,48.50%,64.80%,91.90%
North Dakota,ND,17.70%,41.90%,59.00%,90.30%
Ohio,OH,19.80%,42.30%,60.80%,91.50%
Oklahoma,OK,13.00%,43.20%,61.80%,89.80%
Oregon,OR,27.60%,61.70%,74.80%,97.00%
Pennsylvania,PA,25.50%,53.60%,70.40%,96.50%
Rhode Island,RI,42.30%,77.70%,84.70%,99.90%
South Carolina,SC,14.00%,42.50%,59.50%,93.20%
South Dakota,SD,20.70%,47.30%,64.90%,99.10%
Tennessee,TN,12.80%,36.90%,58.20%,88.80%
Texas,TX,18.40%,55.50%,69.30%,92.30%
Utah,UT,23.60%,59.40%,75.90%,99.90%
Vermont,VT,52.20%,78.20%,80.90%,99.90%
Virginia,VA,34.30%,71.20%,78.00%,97.30%
Washington,WA,29.80%,66.60%,79.50%,99.90%
West Virginia,WV,31.20%,68.80%,78.80%,94.50%
Wisconsin,WI,25.40%,51.90%,67.70%,99.90%
Wyoming,WY,11.60%,35.10%,52.60%,90.10%